id,name,normalized_name,place_type,region_id,region_name,district_id,district_name,latitude,longitude,status,verification_status,source_url,retrieved_at,notes
gh-place-goaso,Goaso,goaso,REGIONAL_CAPITAL,gh-region-ahafo,Ahafo,,,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Conservative initial place seed; coordinates/district assignment intentionally blank pending geospatial ingest.
gh-place-kumasi,Kumasi,kumasi,REGIONAL_CAPITAL,gh-region-ashanti,Ashanti,,,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Conservative initial place seed; coordinates/district assignment intentionally blank pending geospatial ingest.
gh-place-sunyani,Sunyani,sunyani,REGIONAL_CAPITAL,gh-region-bono,Bono,,,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Conservative initial place seed; coordinates/district assignment intentionally blank pending geospatial ingest.
gh-place-techiman,Techiman,techiman,REGIONAL_CAPITAL,gh-region-bono-east,Bono East,,,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Conservative initial place seed; coordinates/district assignment intentionally blank pending geospatial ingest.
gh-place-cape-coast,Cape Coast,cape coast,REGIONAL_CAPITAL,gh-region-central,Central,,,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Conservative initial place seed; coordinates/district assignment intentionally blank pending geospatial ingest.
gh-place-koforidua,Koforidua,koforidua,REGIONAL_CAPITAL,gh-region-eastern,Eastern,,,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Conservative initial place seed; coordinates/district assignment intentionally blank pending geospatial ingest.
gh-place-accra,Accra,accra,REGIONAL_CAPITAL,gh-region-greater-accra,Greater Accra,,,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Conservative initial place seed; coordinates/district assignment intentionally blank pending geospatial ingest.
gh-place-nalerigu,Nalerigu,nalerigu,REGIONAL_CAPITAL,gh-region-north-east,North East,,,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Conservative initial place seed; coordinates/district assignment intentionally blank pending geospatial ingest.
gh-place-tamale,Tamale,tamale,REGIONAL_CAPITAL,gh-region-northern,Northern,,,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Conservative initial place seed; coordinates/district assignment intentionally blank pending geospatial ingest.
gh-place-dambai,Dambai,dambai,REGIONAL_CAPITAL,gh-region-oti,Oti,,,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Conservative initial place seed; coordinates/district assignment intentionally blank pending geospatial ingest.
gh-place-damongo,Damongo,damongo,REGIONAL_CAPITAL,gh-region-savannah,Savannah,,,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Conservative initial place seed; coordinates/district assignment intentionally blank pending geospatial ingest.
gh-place-bolgatanga,Bolgatanga,bolgatanga,REGIONAL_CAPITAL,gh-region-upper-east,Upper East,,,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Conservative initial place seed; coordinates/district assignment intentionally blank pending geospatial ingest.
gh-place-wa,Wa,wa,REGIONAL_CAPITAL,gh-region-upper-west,Upper West,,,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Conservative initial place seed; coordinates/district assignment intentionally blank pending geospatial ingest.
gh-place-ho,Ho,ho,REGIONAL_CAPITAL,gh-region-volta,Volta,,,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Conservative initial place seed; coordinates/district assignment intentionally blank pending geospatial ingest.
gh-place-sekondi-takoradi,Sekondi-Takoradi,sekondi takoradi,REGIONAL_CAPITAL,gh-region-western,Western,,,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Conservative initial place seed; coordinates/district assignment intentionally blank pending geospatial ingest.
gh-place-sefwi-wiawso,Sefwi Wiawso,sefwi wiawso,REGIONAL_CAPITAL,gh-region-western-north,Western North,,,,,ACTIVE,REFERENCE,https://mfa.gov.gh/index.php/about-ghana/regions/,2026-08-28,Conservative initial place seed; coordinates/district assignment intentionally blank pending geospatial ingest.
